,lambda_u,lambda_i,lambda_p,lambda_t,n_factors,MAE
383,0.1,0.1,10.0,100.0,4,0.702280593851
384,0.1,0.1,100.0,1.0,4,0.703123372581
385,0.1,0.1,100.0,10.0,4,0.703691103895
386,0.1,0.1,100.0,100.0,4,0.704219071115
387,0.1,1.0,1.0,1.0,4,0.70213407283
388,0.1,1.0,1.0,10.0,4,0.700469236761
389,0.1,1.0,1.0,100.0,4,0.69849753287
390,0.1,1.0,10.0,1.0,4,0.703594808939
391,0.1,1.0,10.0,10.0,4,0.693993562718
392,0.1,1.0,10.0,100.0,4,0.692581952181
393,0.1,1.0,100.0,1.0,4,0.692449839258
394,0.1,1.0,100.0,10.0,4,0.692643447574
395,0.1,1.0,100.0,100.0,4,0.693503997854
396,1.0,0.001,1.0,1.0,4,0.69553040434
397,1.0,0.001,1.0,10.0,4,0.713711358458
398,1.0,0.001,1.0,100.0,4,0.696241471938
399,1.0,0.001,10.0,1.0,4,0.715439390468
400,1.0,0.001,10.0,10.0,4,0.703031728908
401,1.0,0.001,10.0,100.0,4,0.700670736352
402,1.0,0.001,100.0,1.0,4,0.701289743002
403,1.0,0.001,100.0,10.0,4,0.701352059498
404,1.0,0.001,100.0,100.0,4,0.702600730027
405,1.0,0.01,1.0,1.0,4,0.702634774026
406,1.0,0.01,1.0,10.0,4,0.702953159105
407,1.0,0.01,1.0,100.0,4,0.703393518392
408,1.0,0.01,10.0,1.0,4,0.714192505615
409,1.0,0.01,10.0,10.0,4,0.705724433121
410,1.0,0.01,10.0,100.0,4,0.702853023715
411,1.0,0.01,100.0,1.0,4,0.704106799267
412,1.0,0.01,100.0,10.0,4,0.703730243051
413,1.0,0.01,100.0,100.0,4,0.704709443846
414,1.0,0.1,1.0,1.0,4,0.704648822459
415,1.0,0.1,1.0,10.0,4,0.704403156748
416,1.0,0.1,1.0,100.0,4,0.704464074211
417,1.0,0.1,10.0,1.0,4,0.715139934266
418,1.0,0.1,10.0,10.0,4,0.704385778523
419,1.0,0.1,10.0,100.0,4,0.7020087208
420,1.0,0.1,100.0,1.0,4,0.703997521442
421,1.0,0.1,100.0,10.0,4,0.703145206526
422,1.0,0.1,100.0,100.0,4,0.703092571127
423,1.0,1.0,1.0,1.0,4,0.701819713421
424,1.0,1.0,1.0,10.0,4,0.700204216479
425,1.0,1.0,1.0,100.0,4,0.699079878182
